userid,movieid,minute
66811,the+mask+1994,4.0
85896,the+wolf+of+wall+street+2013,68.0
107824,sawdust+and+tinsel+1953,76.0
154226,seven+samurai+1954,62.0
275327,iron+man+3+2013,117.0
293014,across+the+bridge+1957,42.0
200300,princess+mononoke+1997,131.0
137949,the+homesman+2014,36.0
12573,the+lord+of+the+rings+the+return+of+the+king+2003,143.0
280452,for+colored+girls+2010,126.0
244187,leclisse+1962,111.0
19437,the+last+american+virgin+1982,90.0
130899,son+of+a+gun+2014,39.0
3508,terminator+2+judgment+day+1991,63.0
278265,the+square+2008,43.0
170556,gone+girl+2014,97.0
129548,faces+1968,52.0
86287,the+flaw+2011,31.0
246566,presspauseplay+2011,46.0
44213,the+equalizer+2014,108.0
279621,la+sierra+2005,11.0
212829,one+hundred+and+one+dalmatians+1961,30.0
231704,51+birch+street+2006,83.0
315508,casablanca+1942,3.0
338786,the+lord+of+the+rings+the+two+towers+2002,151.0
48688,black+ice+2007,90.0
17041,my+summer+of+love+2004,40.0
65712,harry+potter+and+the+order+of+the+phoenix+2007,114.0
323899,toy+story+1995,3.0
295824,interstellar+2014,31.0
30543,transcendence+2014,76.0
321535,the+imitation+game+2014,54.0
85966,metropolis+1927,97.0
224707,underworld+evolution+2006,86.0
261159,unknown+2011,38.0
14995,northwest+2013,65.0
244706,batman+begins+2005,104.0
57769,places+in+the+heart+1984,3.0
141975,right+on_+man+1980,12.0
249224,dont+tell+her+its+me+1990,1.0
234797,pirates+of+the+caribbean+dead+mans+chest+2006,71.0
24704,whiplash+2014,32.0
236899,tetro+2009,26.0
225894,quicksand+2003,6.0
115234,my+own+private+idaho+1991,98.0
177214,wonder+man+1945,20.0
185907,my+neighbor+totoro+1988,56.0
107563,up+2009,73.0
185212,titanic+1997,45.0
332320,buster+keaton+a+hard+act+to+follow+1987,50.0
91034,star+wars+episode+iii+-+revenge+of+the+sith+2005,84.0
183985,roman+holiday+1953,9.0
290453,le+samoura+1967,71.0
173767,independence+day+1996,64.0
45017,a+double+life+1947,78.0
121089,steamboat+bill_+jr.+1928,65.0
63334,the+story+of+a+cheat+1936,31.0
72938,indiana+jones+and+the+last+crusade+1989,68.0
16812,killjoy+2+deliverance+from+evil+2002,7.0
193083,inland+empire+2006,8.0
54642,fever+1991,47.0
204925,chaar+sahibzaade+2014,60.0
187937,its+kind+of+a+funny+story+2010,54.0
154822,why+dont+you+play+in+hell+2013,58.0
67577,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,99.0
197725,the+incredible+hulk+2008,85.0
346376,anchors+aweigh+1945,17.0
194816,finding+nemo+2003,11.0
283928,the+manchurian+candidate+2004,45.0
30132,into+the+woods+2014,108.0
40301,one+flew+over+the+cuckoos+nest+1975,99.0
3600,wings+of+desire+1987,113.0
215041,che+part+two+2009,96.0
145364,the+hound+of+the+baskervilles+1939,51.0
248788,follow+the+fleet+1936,75.0
259370,love+forbidden+2002,29.0
283618,days+and+nights+2014,50.0
67798,the+purge+anarchy+2014,105.0
216257,never+say+never+again+1983,79.0
129622,the+red+baron+2008,68.0
188424,saving+private+ryan+1998,142.0
164947,pirates+of+the+caribbean+at+worlds+end+2007,7.0
153942,the+dark+knight+2008,148.0
176295,jamie+and+jessie+are+not+together+2011,31.0
128582,the+adventures+of+picasso+1978,70.0
38432,goldfish+memory+2003,53.0
45512,lets+be+cops+2014,85.0
71709,the+dark+knight+rises+2012,160.0
70041,pulp+fiction+1994,139.0
348936,the+curse+of+the+jade+scorpion+2001,95.0
98387,harry+potter+and+the+goblet+of+fire+2005,136.0
98430,the+loves+of+pharaoh+1922,7.0
68403,boogie+nights+1997,146.0
273260,leon+the+professional+1994,65.0
290349,harry+potter+and+the+philosophers+stone+2001,132.0
168672,light+the+fuse...+sartana+is+coming+1970,81.0
145413,psycho+beach+party+2000,62.0
224017,dragon+ball+z+broly+-+the+legendary+super+saiyan+1993,53.0
331789,jesus+christ+vampire+hunter+2001,51.0
314326,grand+illusion+1937,15.0
98746,the+debt+2010,96.0
198660,hansel++gretel+2002,39.0
205454,decampitated+1998,62.0
241784,what+about+dick+2012,81.0
154352,beyond+the+hills+2012,36.0
289987,reservoir+dogs+1992,24.0
117352,sympathy+for+mr.+vengeance+2002,111.0
282112,knife+in+the+water+1962,23.0
124251,die+nibelungen+siegfried+1924,116.0
54068,the+hobbit+an+unexpected+journey+2012,99.0
229218,armour+of+god+ii+operation+condor+1991,31.0
338636,the+maze+runner+2014,7.0
37312,the+amazing+spider-man+2012,26.0
242047,indiana+jones+and+the+temple+of+doom+1984,19.0
319369,frenzy+1972,99.0
13148,inventing+the+abbotts+1997,97.0
283040,what+have+you+done+to+solange+1972,15.0
227211,serena+2014,38.0
202692,before+sunrise+1995,67.0
345269,manon+1949,77.0
174883,wargames+1983,73.0
213257,colors+1988,3.0
268098,harry+potter+and+the+prisoner+of+azkaban+2004,81.0
299764,close+encounters+of+the+third+kind+1977,51.0
58127,deadheads+2011,44.0
2439,star+wars+1977,84.0
134138,addams+family+reunion+1998,3.0
50908,henri+georges+clouzots+inferno+2009,47.0
120751,blade+ii+2002,17.0
140150,whos+singin+over+there+1980,4.0
34169,shall+we+dance+1996,35.0
64724,sundown+1941,36.0
183626,alice+in+wonderland+1951,11.0
43858,brave+2012,12.0
117692,enron+the+smartest+guys+in+the+room+2005,60.0
238002,revenge+1990,24.0
206041,constantine+2005,35.0
102900,willy+wonka++the+chocolate+factory+1971,21.0
312321,the+long+kiss+goodnight+1996,63.0
203955,the+out+of+towners+1970,3.0
49468,a+personal+journey+with+martin+scorsese+through+american+movies+1995,224.0
158075,the+da+vinci+code+2006,16.0
124057,dawn+of+the+dead+1978,69.0
161787,no+reservations+2007,9.0
315620,murder+most+foul+1964,68.0
138498,the+shawshank+redemption+1994,96.0
305192,kirikou+and+the+sorceress+1998,60.0
20274,the+vanishing+american+1925,40.0
103548,big+hero+6+2014,6.0
171342,redirected+2014,54.0
2909,punks+dead+slc+punk+2+2016,54.0
248166,the+amazing+spider-man+2+2014,123.0
107160,shutter+island+2010,104.0
10696,the+goonies+1985,48.0
180012,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,24.0
109606,sorrow+and+joy+2013,10.0
148468,the+jungle+book+1967,15.0
109703,lady+chatterleys+lover+1981,22.0
67453,the+kindred+1987,40.0
120289,the+pyx+1973,37.0
262977,crimson+rivers+ii+angels+of+the+apocalypse+2004,81.0
21074,the+black+cauldron+1985,14.0
175497,my+brother+is+an+only+child+2007,11.0
259339,raiders+of+the+lost+ark+1981,12.0
339370,handsome+harry+2009,19.0
229200,wilder+napalm+1993,7.0
94169,planet+51+2009,6.0
319426,peter+pan+1953,7.0
351899,four+lions+2010,12.0
335419,castle+in+the+sky+1986,22.0
78445,the+white+massai+2005,0.0
235967,goodfellas+1990,0.0
107075,weird+woman+1944,0.0
103860,the+hobbit+the+battle+of+the+five+armies+2014,97.0
334552,sailor+of+the+king+1953,0.0
253081,bruce+almighty+2003,0.0
330421,harry+potter+and+the+chamber+of+secrets+2002,45.0
304966,the+lion+king+1994,5.0
27092,out+to+sea+1997,1.0
218912,for+me+and+my+gal+1942,15.0
224192,drugstore+cowboy+1989,33.0
228341,to+be+or+not+to+be+1942,81.0
233521,deep+blue+sea+1999,88.0
233130,empire+falls+2005,185.0
111752,the+lion+in+winter+1968,109.0
36325,tigrero+a+film+that+was+never+made+1994,4.0
16872,the+war+2007,112.0
285555,the+baytown+outlaws+2012,3.0
279427,judy+moody+and+the+not+bummer+summer+2011,44.0
178640,inception+2010,18.0
85911,the+good_+the+bad+and+the+ugly+1966,26.0
97646,pitch+black+2000,97.0
163259,breaking+away+1979,66.0
200956,blade+runner+1982,6.0
345218,the+curiosity+of+chance+2006,30.0
218203,the+time+machine+1960,15.0
32328,mr.+nobody+2009,16.0
352186,girls+just+want+to+have+fun+1985,30.0
243695,iron+man+2008,81.0
324732,akira+1988,30.0
81677,outside+the+law+2002,81.0
292694,begin+again+2013,86.0
137534,the+phantom+lover+1995,97.0
207063,dark+days+2000,47.0
287453,titanic+town+1998,65.0
222908,war+and+peace+1966,320.0
239816,about+time+2013,4.0
152840,white+men+cant+jump+1992,2.0
12756,dirty+dancing+1987,82.0
317825,carnival+in+flanders+1935,56.0
86800,skidoo+1968,93.0
62253,se7en+1995,1.0
243285,dave+1993,19.0
243038,north+west+mounted+police+1940,12.0
152007,the+hangover+2009,79.0
137691,balkan+spy+1984,14.0
102753,the+dirty+dozen+the+deadly+mission+1987,74.0
144188,from+russia+with+love+1963,75.0
22530,shrek+2+2004,83.0
268105,common+wealth+2000,53.0
345390,wreck-it+ralph+2012,31.0
225314,pee-wees+big+adventure+1985,60.0
302895,whisper+of+the+heart+1995,59.0
98049,law+abiding+citizen+2009,48.0
2120,mike+tyson+undisputed+truth+2013,77.0
84635,song+of+the+thin+man+1947,70.0
338007,ironclad+2011,108.0
60901,treasure+island+1990,90.0
146197,conviction+2010,30.0
66288,avatar+2009,107.0
298470,ragtime+1981,121.0
79397,monster+2008,33.0
204019,if+only+2004,39.0
171297,the+mother+and+the+whore+1973,89.0
131489,white+christmas+1954,16.0
149408,the+secret+life+of+walter+mitty+2013,26.0
70391,bringing+up+bobby+2011,4.0
179996,cloak++dagger+1984,65.0
258555,halloweentown+high+2004,80.0
173830,batman+vs+dracula+2005,10.0
55273,otaku+1994,75.0
43784,fallen+1998,91.0
202547,october+sky+1999,55.0
223014,atonement+2007,89.0
304376,back+to+the+future+1985,57.0
213335,yi+yi+2000,122.0
188580,high+art+1998,80.0
