userid,movieid,minute
262162,capitalism+a+love+story+2009,98
312402,pulp+fiction+1994,40
159079,les+bonnes+femmes+1960,74
130709,star+wars+episode+i+-+the+phantom+menace+1999,24
159277,the+dark+knight+2008,37
207519,come+early+morning+2006,67
239891,the+good_+the+bad+and+the+ugly+1966,4
24859,dial+m+for+murder+1954,38
270732,coraline+2009,38
169688,aliens+1986,130
56529,lifeguard+1976,87
113732,bolt+2008,34
52441,the+shawshank+redemption+1994,90
331329,saving+private+ryan+1998,103
181253,the+maltese+falcon+1941,93
202547,october+sky+1999,93
180303,the+wrestler+2008,21
229296,ghostbusters+1984,105
299814,despicable+me+2+2013,90
4560,cold+mountain+2003,93
132045,man+of+the+century+1999,77
296111,while+you+were+sleeping+1995,99
92828,x-men+days+of+future+past+2014,65
213912,the+green+mile+1999,157
300770,la+belle+noiseuse+1991,60
169344,return+of+the+living+dead+rave+to+the+grave+2005,66
11839,in+bloom+2013,47
215821,the+wall+1975,63
293179,so+dear+to+my+heart+1948,59
197629,psycho+1960,79
238021,dr.+mabuse_+the+gambler+1922,183
69007,exotica+1994,87
30959,kiss+me_+stupid+1964,91
61673,the+lord+of+the+rings+the+two+towers+2002,17
325784,the+tall+t+1957,63
83148,the+twilight+samurai+2002,69
25181,diary+of+a+cannibal+2007,61
75115,hercules+1997,57
56637,the+inbetweeners+movie+2011,83
100455,back+to+the+future+1985,87
144016,blade+runner+1982,68
297589,the+godfather+1972,39
145684,delhi-6+2009,42
186140,elizabeth+the+golden+age+2007,37
285225,the+mother+and+the+whore+1973,113
336518,the+devils+brigade+1968,67
120021,rich+in+love+1992,90
178106,hamlet+1996,11
61691,zack+and+miri+make+a+porno+2008,71
329747,house+hunting+2013,91
247342,inception+2010,109
321459,master+and+commander+the+far+side+of+the+world+2003,37
249664,alice+in+wonderland+1951,6
6232,i+capture+the+castle+2003,60
166232,melody+time+1948,72
146120,snow+white+and+the+seven+dwarfs+1937,53
27092,out+to+sea+1997,39
23707,scourge+2008,10
129704,gilda+1946,27
247426,son+of+paleface+1952,75
82544,the+maltese+falcon+1931,16
245697,saving+private+ryan+1998,80
199960,ali+fear+eats+the+soul+1974,84
98215,one+hundred+and+one+dalmatians+1961,5
64039,the+inner+circle+1991,123
199605,the+terminator+1984,75
323096,the+vault+of+horror+1973,35
206484,raiders+of+the+lost+ark+1981,86
144891,the+amazing+spider-man+2012,75
116173,the+big+wedding+2013,81
311638,riki-oh+the+story+of+ricky+1991,13
47769,undertaking+betty+2002,8
334669,father+of+the+bride+1950,58
305596,blink+1994,58
341290,the+chronicles+of+narnia+the+lion_+the+witch+and+the+wardrobe+2005,102
255315,love+finds+andy+hardy+1938,69
176221,the+godfather+1972,165
270216,the+wrong+trousers+1993,2
99355,grease+1978,39
36957,my+neighbor+totoro+1988,61
251606,alice+in+wonderland+1951,69
346917,the+hunger+games+mockingjay+-+part+1+2014,106
65648,captain+america+the+first+avenger+2011,6
217882,beautiful+thing+1996,69
27510,megamind+2010,58
264703,whiplash+2014,49
59242,roma+1972,87
78586,invasion+of+the+body+snatchers+1956,2
236213,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,132
286389,toy+story+3+2010,77
217887,the+purge+anarchy+2014,29
6826,the+godfather+1972,127
299699,miracle+mile+1989,65
105437,satantango+1994,64
102049,fort+apache+1948,46
38897,diary+of+a+chambermaid+1964,66
259348,rob+the+mob+2014,88
328098,goodfellas+1990,100
188582,toy+story+3+2010,91
110821,charlie+and+the+chocolate+factory+2005,52
252227,the+woman+in+black+2012,12
340013,max+2002,84
148168,the+mists+of+avalon+2001,85
105794,pigs+2007,30
115048,frozen+2013,67
248040,x-men+days+of+future+past+2014,74
222138,immortal+sergeant+1943,90
171319,waitress+2007,28
134370,from+dusk+till+dawn+1996,47
212412,sal_+or+the+120+days+of+sodom+1975,115
311828,pather+panchali+1955,20
312879,valerie+and+her+week+of+wonders+1970,13
220731,shutter+island+2010,68
343467,the+godfather+1972,108
275311,fury+2014,96
115276,jack++diane+2012,4
161821,when+trumpets+fade+1998,8
92579,the+killing+of+john+lennon+2007,98
177601,the+aristocats+1970,54
246977,curse+of+the+golden+flower+2006,23
25158,american+pie+2+2001,75
172463,the+lion+king+1994,23
128484,gattaca+1997,40
38278,black+widow+1987,12
304443,the+house+of+sand+2005,64
247147,harry+potter+and+the+half-blood+prince+2009,104
189403,hick+2011,41
212603,dear+zachary+a+letter+to+a+son+about+his+father+2008,96
298732,frozen+2013,74
245866,my+fair+lady+1964,52
121177,gabrielle+2013,71
160691,the+good_+the+bad+and+the+ugly+1966,66
304582,maria+full+of+grace+2004,102
79882,love_+wedding_+marriage+2011,12
11952,batman+begins+2005,69
249633,the+imitation+game+2014,100
88786,laila+1929,27
46005,jupiter+ascending+2015,39
113321,the+gay+divorcee+1934,61
117823,harry+potter+and+the+order+of+the+phoenix+2007,24
193145,the+fifth+element+1997,33
45806,men+in+black+1997,6
171418,star+wars+episode+iii+-+revenge+of+the+sith+2005,57
208258,the+green+mile+1999,76
119729,the+lord+of+the+rings+the+return+of+the+king+2003,59
195205,mediterraneo+1991,12
82556,the+dark+knight+2008,87
67745,psycho+1960,49
165898,the+imitation+game+2014,63
338272,hairspray+2007,1
40566,dark+water+2002,24
55547,the+razors+edge+1946,72
323972,diaries+notes+and+sketches+1969,107
326803,guess+whos+coming+to+dinner+1967,85
215673,inception+2010,2
93569,coraline+2009,98
256043,the+shawshank+redemption+1994,21
89592,sicilia+1999,1
171817,all+the+presidents+men+1976,116
63976,the+green+mile+1999,2
97401,geronimo+an+american+legend+1993,109
9782,scream+2+1997,110
40165,three+smart+girls+1936,65
143918,howls+moving+castle+2004,21
144966,whiplash+2014,104
111749,rudy+1993,50
143646,55+days+at+peking+1963,38
332452,up+at+the+villa+2000,4
125533,none+but+the+brave+1965,9
278225,cobain+montage+of+heck+2015,55
30240,dirty+dancing+1987,65
145525,the+dark+knight+rises+2012,3
158275,cleopatra+1963,181
80609,back+to+the+future+part+iii+1990,33
162466,exiled+2006,58
279797,the+syrian+bride+2004,10
2229,hababam+snf+uyanyor+1976,58
336783,apollo+13+1995,111
191586,satans+blood+1978,9
126782,confessions+of+an+opium+eater+1962,26
199071,i_+robot+2004,47
219220,unrest+2006,13
33954,castle+in+the+sky+1986,6
335467,monster+2003,49
113535,the+godfather+1972,124
323304,howls+moving+castle+2004,38
289718,coherence+2013,25
74883,borat+cultural+learnings+of+america+for+make+benefit+glorious+nation+of+kazakhstan+2006,24
310166,hotte+in+paradise+2003,20
329024,the+hobbit+the+battle+of+the+five+armies+2014,134
88795,the+shawshank+redemption+1994,17
167001,big+hero+6+2014,19
217371,the+thing+2011,14
219272,ponyo+2008,39
47093,the+four+horsemen+of+the+apocalypse+1921,107
92894,moon+warriors+1992,42
191795,the+butterfly+effect+2004,110
144130,gone+girl+2014,35
304920,star+wars+1977,122
42200,one+flew+over+the+cuckoos+nest+1975,18
60760,the+chronicles+of+narnia+the+lion_+the+witch+and+the+wardrobe+2005,4
288611,pinocchio+1940,3
251990,control+2004,98
276721,viola+2012,55
277374,scarface+1983,24
266594,the+imitation+game+2014,56
111538,coraline+2009,16
9443,live+and+let+die+1973,28
44445,happythankyoumoreplease+2010,96
172283,leon+the+professional+1994,42
51508,the+strange+case+of+dr.+jekyll+and+mr.+hyde+1968,40
256474,the+avengers+2012,80
54819,paul+williams+still+alive+2011,23
56414,malcolm+x+1992,82
313262,mulan+1998,38
39114,the+lady+vanishes+1938,26
100887,rio+grande+1950,65
132386,hot+summer+week+1972,55
345393,daughters+of+darkness+1971,55
226844,whisper+of+the+heart+1995,69
274408,girl+27+2007,39
349139,zeitgeist+moving+forward+2011,15
17007,hairspray+2007,73
306254,goodfellas+1990,24
70701,bill+bailey+tinselworm+2008,48
52761,akira+1988,37
82409,nirvana+1997,57
272672,saving+private+ryan+1998,155
332189,the+wolf+of+wall+street+2013,117
335277,ted+2012,11
105034,angels+in+america+2003,13
161104,peter+pan+1953,30
46252,soldier+in+the+rain+1963,43
326771,nightcrawler+2014,112
216431,marley+2012,36
307320,incendies+2010,25
86320,jazz+2001,949
217075,gladiator+2000,8
258853,crave+2012,87
303041,written+on+the+wind+1956,4
303037,the+turin+horse+2011,33
302696,my+sons+1991,80
123504,killing+them+softly+2012,68
56185,ponyo+2008,23
320406,down+to+the+bone+2004,69
134423,dream+team+1935+2012,72
109183,the+public+enemy+1931,18
216041,fantasy+mission+force+1983,47
112048,the+barchester+chronicles+1982,30
206629,resurrecting+the+champ+2007,33
332014,before+midnight+2013,78
158601,frozen+2013,32
197465,gangs+of+new+york+2002,39
331470,the+ghost+and+the+darkness+1996,28
319160,the+avengers+2012,133
320216,nowhere+boy+2009,67
86617,take+this+waltz+2011,84
302832,harry+potter+and+the+deathly+hallows+part+2+2011,70
