timestamp,userid,movieid,minute_watched
1698607385235906622,2023-10-29T15:23:05,417445,the+night+of+varennes+1982,138
1698607385235902551,2023-10-29T15:23:05,488626,scarface+1983,46
1698607385235899263,2023-10-29T15:23:05,343415,toy+story+1995,9
1698607385235807137,2023-10-29T15:23:05,458270,the+lord+of+the+rings+the+return+of+the+king+2003,113
1698607385235802298,2023-10-29T15:23:05,465996,fearless+1993,10
1698607385235797845,2023-10-29T15:23:05,77171,interstellar+2014,77
1698607385234560241,2023-10-29T15:23:05,53605,the+lord+of+the+rings+the+return+of+the+king+2003,80
1698607385229985113,2023-10-29T15:23:05,550710,whiplash+2014,43
1698607385229977933,2023-10-29T15:23:05,416867,the+lord+of+the+rings+the+return+of+the+king+2003,157
1698607385229967583,2023-10-29T15:23:05,21943,the+lord+of+the+rings+the+return+of+the+king+2003,2
1698607385229960892,2023-10-29T15:23:05,285699,the+lord+of+the+rings+the+two+towers+2002,13
1698607385229946089,2023-10-29T15:23:05,310118,take+a+girl+like+you+1970,30
1698607385229924979,2023-10-29T15:23:05,301407,the+lord+of+the+rings+the+two+towers+2002,108
1698607385229918286,2023-10-29T15:23:05,199063,the+dark+knight+rises+2012,27
1698607385229913263,2023-10-29T15:23:05,539030,the+lord+of+the+rings+the+two+towers+2002,127
1698607385229909019,2023-10-29T15:23:05,149328,the+lord+of+the+rings+the+two+towers+2002,27
1698607385228599844,2023-10-29T15:23:05,526357,the+lord+of+the+rings+the+return+of+the+king+2003,183
1698607385228594391,2023-10-29T15:23:05,110210,the+lord+of+the+rings+the+two+towers+2002,178
1698607385228588644,2023-10-29T15:23:05,120761,the+lord+of+the+rings+the+two+towers+2002,96
1698607385228425513,2023-10-29T15:23:05,386588,goodbye+to+language+2014,61
1698607385228421151,2023-10-29T15:23:05,242782,seven+samurai+1954,100
1698607385227052714,2023-10-29T15:23:05,264751,the+lord+of+the+rings+the+return+of+the+king+2003,48
1698607385226954116,2023-10-29T15:23:05,336945,whiplash+2014,51
1698607385226890675,2023-10-29T15:23:05,170783,the+lord+of+the+rings+the+return+of+the+king+2003,159
1698607385226829723,2023-10-29T15:23:05,103241,the+lord+of+the+rings+the+two+towers+2002,139
1698607385226802245,2023-10-29T15:23:05,312653,a+simple+life+2011,99
1698607385226769763,2023-10-29T15:23:05,188720,pulp+fiction+1994,11
1698607385226735726,2023-10-29T15:23:05,23250,whisper+of+the+heart+1995,18
1698607385226695594,2023-10-29T15:23:05,218823,the+lord+of+the+rings+the+two+towers+2002,72
1698607385226665367,2023-10-29T15:23:05,134745,the+lord+of+the+rings+the+return+of+the+king+2003,184
1698607385226611668,2023-10-29T15:23:05,330907,the+lord+of+the+rings+the+return+of+the+king+2003,187
1698607385226583126,2023-10-29T15:23:05,242566,pulp+fiction+1994,118
1698607385226557926,2023-10-29T15:23:05,121755,whiplash+2014,43
1698607385226530909,2023-10-29T15:23:05,112206,aladdin+1992,26
1698607385226500850,2023-10-29T15:23:05,226222,the+lord+of+the+rings+the+two+towers+2002,25
1698607385226477404,2023-10-29T15:23:05,333162,saving+private+ryan+1998,125
1698607385226449273,2023-10-29T15:23:05,35154,tony+takitani+2004,1
1698607385226411359,2023-10-29T15:23:05,136860,the+lord+of+the+rings+the+two+towers+2002,141
1698607385226386231,2023-10-29T15:23:05,277826,blonde+venus+1932,25
1698607385226301519,2023-10-29T15:23:05,198341,one+flew+over+the+cuckoos+nest+1975,104
1698607385226293813,2023-10-29T15:23:05,232959,the+lord+of+the+rings+the+return+of+the+king+2003,65
1698607385226270165,2023-10-29T15:23:05,6247,the+lord+of+the+rings+the+two+towers+2002,92
1698607385226262736,2023-10-29T15:23:05,223823,the+lord+of+the+rings+the+two+towers+2002,121
1698607385226251281,2023-10-29T15:23:05,228140,any+number+can+win+1963,81
1698607385226245116,2023-10-29T15:23:05,146684,the+lord+of+the+rings+the+two+towers+2002,156
1698607385226226487,2023-10-29T15:23:05,428323,pulp+fiction+1994,138
1698607385226218075,2023-10-29T15:23:05,384012,interstellar+2014,159
1698607385226215034,2023-10-29T15:23:05,279239,the+gods+must+be+crazy+1980,47
1698607385226077456,2023-10-29T15:23:05,214346,pulp+fiction+1994,125
1698607385226067735,2023-10-29T15:23:05,451749,pulp+fiction+1994,146
1698607385226060970,2023-10-29T15:23:05,235910,alice+in+wonderland+1951,17
1698607385222698626,2023-10-29T15:23:05,88813,the+lord+of+the+rings+the+return+of+the+king+2003,74
1698607385222693926,2023-10-29T15:23:05,132685,interstellar+2014,129
1698607385222576498,2023-10-29T15:23:05,41403,the+lord+of+the+rings+the+two+towers+2002,50
1698607385208784772,2023-10-29T15:23:05,308946,the+goonies+1985,91
1698607385207891676,2023-10-29T15:23:05,543380,pulp+fiction+1994,64
1698607385207887923,2023-10-29T15:23:05,112610,pulp+fiction+1994,41
1698607385207884854,2023-10-29T15:23:05,23118,the+dark+knight+rises+2012,147
1698607385207881939,2023-10-29T15:23:05,545426,lunacy+2005,72
1698607385207772636,2023-10-29T15:23:05,281065,the+lord+of+the+rings+the+return+of+the+king+2003,15
1698607385207761855,2023-10-29T15:23:05,6243,whiplash+2014,28
1698607385207752932,2023-10-29T15:23:05,397267,the+lord+of+the+rings+the+two+towers+2002,75
1698607385206548303,2023-10-29T15:23:05,438965,one+flew+over+the+cuckoos+nest+1975,84
1698607385206544219,2023-10-29T15:23:05,77187,pulp+fiction+1994,27
1698607385206322355,2023-10-29T15:23:05,479888,whiplash+2014,91
1698607385203960017,2023-10-29T15:23:05,133568,seven+samurai+1954,121
1698607385203824149,2023-10-29T15:23:05,574480,the+lord+of+the+rings+the+return+of+the+king+2003,132
1698607385202575936,2023-10-29T15:23:05,217798,pulp+fiction+1994,147
1698607385202572186,2023-10-29T15:23:05,327952,the+green+mile+1999,31
1698607385202569339,2023-10-29T15:23:05,443619,pulp+fiction+1994,123
1698607385202565628,2023-10-29T15:23:05,216279,interstellar+2014,158
1698607385202425832,2023-10-29T15:23:05,473704,the+lord+of+the+rings+the+two+towers+2002,101
1698607385202421152,2023-10-29T15:23:05,84761,one+flew+over+the+cuckoos+nest+1975,64
1698607385202416467,2023-10-29T15:23:05,230898,the+lord+of+the+rings+the+return+of+the+king+2003,141
1698607385201004165,2023-10-29T15:23:05,105213,pulp+fiction+1994,5
1698607385200996621,2023-10-29T15:23:05,401955,the+lord+of+the+rings+the+return+of+the+king+2003,52
1698607385200958155,2023-10-29T15:23:05,296655,one+flew+over+the+cuckoos+nest+1975,29
1698607385200951147,2023-10-29T15:23:05,66555,the+lord+of+the+rings+the+return+of+the+king+2003,72
1698607385200939078,2023-10-29T15:23:05,147261,interstellar+2014,151
1698607385200934024,2023-10-29T15:23:05,180026,my+neighbor+totoro+1988,28
1698607385200923084,2023-10-29T15:23:05,479945,dick+1999,35
1698607385200915031,2023-10-29T15:23:05,332916,interstellar+2014,134
1698607385200906976,2023-10-29T15:23:05,346674,the+lord+of+the+rings+the+return+of+the+king+2003,53
1698607385200758784,2023-10-29T15:23:05,111357,interstellar+2014,150
1698607385200751289,2023-10-29T15:23:05,564644,the+lord+of+the+rings+the+two+towers+2002,158
1698607385200746684,2023-10-29T15:23:05,169470,the+lord+of+the+rings+the+two+towers+2002,43
1698607385198747716,2023-10-29T15:23:05,196580,the+lord+of+the+rings+the+two+towers+2002,169
1698607385198741365,2023-10-29T15:23:05,486647,the+lord+of+the+rings+the+two+towers+2002,180
1698607385198558310,2023-10-29T15:23:05,104491,the+lord+of+the+rings+the+two+towers+2002,78
1698607385194875083,2023-10-29T15:23:05,294445,seven+angry+men+1955,56
1698607385193873850,2023-10-29T15:23:05,403793,seven+samurai+1954,179
1698607385193868978,2023-10-29T15:23:05,303437,one+flew+over+the+cuckoos+nest+1975,102
1698607385193771343,2023-10-29T15:23:05,372712,the+lord+of+the+rings+the+two+towers+2002,126
1698607385193767759,2023-10-29T15:23:05,241319,knocked+up+2007,21
1698607385192320163,2023-10-29T15:23:05,59066,gone+girl+2014,79
1698607385192316204,2023-10-29T15:23:05,96746,whiplash+2014,93
1698607385192051745,2023-10-29T15:23:05,567121,the+lord+of+the+rings+the+return+of+the+king+2003,51
1698607385189212465,2023-10-29T15:23:05,555123,whiplash+2014,42
1698607385189198290,2023-10-29T15:23:05,106584,shrek+2001,47
1698607385189194378,2023-10-29T15:23:05,466984,the+lord+of+the+rings+the+two+towers+2002,104
1698607385189190578,2023-10-29T15:23:05,573510,django+unchained+2012,132
1698607385189005302,2023-10-29T15:23:05,365443,robocroc+2013,40
1698607385189000319,2023-10-29T15:23:05,128007,pulp+fiction+1994,33
1698607385188995873,2023-10-29T15:23:05,348619,the+lord+of+the+rings+the+return+of+the+king+2003,1
1698607385186962143,2023-10-29T15:23:05,160039,sherlock+holmes+2009,97
1698607385186958114,2023-10-29T15:23:05,43909,the+lord+of+the+rings+the+return+of+the+king+2003,166
1698607385186747730,2023-10-29T15:23:05,553035,the+big+parade+1925,123
1698607385186743736,2023-10-29T15:23:05,160475,million+dollar+baby+2004,115
