userid,movieid,minute
66811,the+mask+1994,4
85896,the+wolf+of+wall+street+2013,68
107824,sawdust+and+tinsel+1953,76
154226,seven+samurai+1954,62
275327,iron+man+3+2013,117
293014,across+the+bridge+1957,42
200300,princess+mononoke+1997,131
137949,the+homesman+2014,36
12573,the+lord+of+the+rings+the+return+of+the+king+2003,143
280452,for+colored+girls+2010,126
244187,leclisse+1962,111
19437,the+last+american+virgin+1982,90
130899,son+of+a+gun+2014,39
192249,the+lord+of+the+rings+the+return+of+the+king+2003,153
3508,terminator+2+judgment+day+1991,63
278265,the+square+2008,43
170556,gone+girl+2014,97
129548,faces+1968,52
86287,the+flaw+2011,31
246566,presspauseplay+2011,46
44213,the+equalizer+2014,108
279621,la+sierra+2005,11
212829,one+hundred+and+one+dalmatians+1961,30
231704,51+birch+street+2006,83
315508,casablanca+1942,3
338786,the+lord+of+the+rings+the+two+towers+2002,151
48688,black+ice+2007,90
17041,my+summer+of+love+2004,40
65712,harry+potter+and+the+order+of+the+phoenix+2007,114
323899,toy+story+1995,3
295824,interstellar+2014,31
30543,transcendence+2014,76
321535,the+imitation+game+2014,54
85966,metropolis+1927,97
224707,underworld+evolution+2006,86
261159,unknown+2011,38
14995,northwest+2013,65
244706,batman+begins+2005,104
57769,places+in+the+heart+1984,3
141975,right+on_+man+1980,12
249224,dont+tell+her+its+me+1990,1
234797,pirates+of+the+caribbean+dead+mans+chest+2006,71
24704,whiplash+2014,32
236899,tetro+2009,26
225894,quicksand+2003,6
115234,my+own+private+idaho+1991,98
177214,wonder+man+1945,20
185907,my+neighbor+totoro+1988,56
107563,up+2009,73
185212,titanic+1997,45
332320,buster+keaton+a+hard+act+to+follow+1987,50
91034,star+wars+episode+iii+-+revenge+of+the+sith+2005,84
183985,roman+holiday+1953,9
290453,le+samoura+1967,71
173767,independence+day+1996,64
45017,a+double+life+1947,78
121089,steamboat+bill_+jr.+1928,65
63334,the+story+of+a+cheat+1936,31
72938,indiana+jones+and+the+last+crusade+1989,68
16812,killjoy+2+deliverance+from+evil+2002,7
193083,inland+empire+2006,8
54642,fever+1991,47
204925,chaar+sahibzaade+2014,60
187937,its+kind+of+a+funny+story+2010,54
154822,why+dont+you+play+in+hell+2013,58
67577,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,99
197725,the+incredible+hulk+2008,85
217796,the+lord+of+the+rings+the+two+towers+2002,163
346376,anchors+aweigh+1945,17
194816,finding+nemo+2003,11
283928,the+manchurian+candidate+2004,45
30132,into+the+woods+2014,108
40301,one+flew+over+the+cuckoos+nest+1975,99
3600,wings+of+desire+1987,113
215041,che+part+two+2009,96
145364,the+hound+of+the+baskervilles+1939,51
248788,follow+the+fleet+1936,75
259370,love+forbidden+2002,29
283618,days+and+nights+2014,50
67798,the+purge+anarchy+2014,105
