time,userid,movieid,rating
2023-11-29 20:06:42,297370,my+man+godfrey+1957,4
2023-11-29 20:06:42,566472,dances+with+wolves+1990,4
2023-11-29 20:06:43,443994,the+anniversary+1968,4
2023-11-29 20:06:43,668214,whiplash+2014,4
2023-11-29 20:06:43,274517,last+days+2005,4
2023-11-29 20:06:43,339499,alice+in+wonderland+1951,5
2023-11-29 20:06:43,198657,fury+2014,3
2023-11-29 20:06:44,280777,interstellar+2014,4
2023-11-29 20:06:45,43626,sixteen+candles+1984,3
2023-11-29 20:06:45,115619,one+flew+over+the+cuckoos+nest+1975,4
2023-11-29 20:06:45,207261,gone+girl+2014,4
2023-11-29 20:06:45,182438,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:06:45,86337,pulp+fiction+1994,4
2023-11-29 20:06:45,531653,the+sixth+sense+1999,5
2023-11-29 20:06:45,104892,jack+strong+2014,3
2023-11-29 20:06:45,473591,simple+simon+2010,5
2023-11-29 20:06:45,752658,the+criminal+life+of+archibaldo+de+la+cruz+1955,4
2023-11-29 20:06:45,634107,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:06:45,135914,alice+in+wonderland+2010,4
2023-11-29 20:06:46,264779,one+hundred+and+one+dalmatians+1961,4
2023-11-29 20:06:46,621966,the+trip+to+bountiful+1985,4
2023-11-29 20:06:46,618718,geronimo+an+american+legend+1993,3
2023-11-29 20:06:46,53475,better+luck+tomorrow+2002,3
2023-11-29 20:06:46,717525,interstellar+2014,4
2023-11-29 20:06:47,499890,despicable+me+2+2013,3
2023-11-29 20:06:47,694792,hey+bartender+2013,4
2023-11-29 20:06:48,189678,the+incredibles+2004,4
2023-11-29 20:06:48,168199,unhung+hero+2013,4
2023-11-29 20:06:48,390035,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:06:49,368006,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:06:49,323129,i_+robot+2004,3
2023-11-29 20:06:49,441971,the+hound+of+the+baskervilles+2000,3
2023-11-29 20:06:49,674214,the+goonies+1985,4
2023-11-29 20:06:49,383305,twixt+2011,3
2023-11-29 20:06:49,254325,whisper+of+the+heart+1995,4
2023-11-29 20:06:49,389538,whiplash+2014,5
2023-11-29 20:06:50,9407,trust+2010,4
2023-11-29 20:06:50,18088,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:06:50,550506,grease+1978,4
2023-11-29 20:06:50,534230,midnight+in+the+garden+of+good+and+evil+1997,3
2023-11-29 20:06:51,667607,the+journey+1959,3
2023-11-29 20:06:51,448345,the+other+guys+2010,4
2023-11-29 20:06:51,554788,pulp+fiction+1994,3
2023-11-29 20:06:51,303264,evergreen+2004,4
2023-11-29 20:06:51,741922,griffin++phoenix+2006,4
2023-11-29 20:06:51,725329,shy+people+1987,3
2023-11-29 20:06:51,578210,dragon+seed+1944,3
2023-11-29 20:06:51,319853,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:06:52,95916,star+wars+episode+iii+-+revenge+of+the+sith+2005,5
2023-11-29 20:06:52,674819,faithful+1996,1
2023-11-29 20:06:52,381460,street+people+1976,4
2023-11-29 20:06:52,42970,the+boy+in+the+striped+pyjamas+2008,3
2023-11-29 20:06:52,779017,interstellar+2014,5
2023-11-29 20:06:52,236642,days+of+wine+and+roses+1962,5
2023-11-29 20:06:53,546351,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:06:53,555566,forbidden+planet+1956,3
2023-11-29 20:06:53,364464,broken+blossoms+1919,4
2023-11-29 20:06:53,634177,arc+2006,4
2023-11-29 20:06:53,29731,take+this+waltz+2011,3
2023-11-29 20:06:54,489382,peter+pan+1953,4
2023-11-29 20:06:54,579369,watership+down+1978,3
2023-11-29 20:06:54,417103,interstellar+2014,3
2023-11-29 20:06:54,387847,wolf+children+2012,5
2023-11-29 20:06:54,286074,shockproof+1949,4
2023-11-29 20:06:54,463257,whiplash+2014,5
2023-11-29 20:06:54,646159,fight+club+1999,3
2023-11-29 20:06:55,92156,the+gruffalos+child+2011,5
2023-11-29 20:06:55,33055,and+now+my+love+1974,5
2023-11-29 20:06:55,737122,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:06:55,26705,interstellar+2014,3
2023-11-29 20:06:55,643575,one+flew+over+the+cuckoos+nest+1975,4
2023-11-29 20:06:55,289999,the+business+of+strangers+2001,4
2023-11-29 20:06:55,736603,life+of+pi+2012,4
2023-11-29 20:06:56,539113,baby+mama+2008,2
2023-11-29 20:06:56,762731,a+fistful+of+dollars+1964,4
2023-11-29 20:06:56,217531,godzilla+1954,4
2023-11-29 20:06:56,729943,avalon+2011,3
2023-11-29 20:06:56,606129,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:06:56,652523,the+frozen+ghost+1945,4
2023-11-29 20:06:56,287107,gone+girl+2014,4
2023-11-29 20:06:56,561392,scarface+1983,4
2023-11-29 20:06:57,330384,billy+liar+1963,5
2023-11-29 20:06:57,479378,nightcrawler+2014,4
2023-11-29 20:06:57,209637,ponyo+2008,2
2023-11-29 20:06:57,513334,the+lord+of+the+rings+the+return+of+the+king+2003,4
2023-11-29 20:06:57,296756,lightnin+1925,4
2023-11-29 20:06:57,415676,alice+in+wonderland+1951,3
2023-11-29 20:06:57,402276,the+amazing+spider-man+2012,4
2023-11-29 20:06:57,545853,taxi+1932,4
2023-11-29 20:06:58,65858,wreck-it+ralph+2012,4
2023-11-29 20:06:58,23855,the+shawshank+redemption+1994,5
2023-11-29 20:06:58,668753,cul-de-sac+1966,4
2023-11-29 20:06:58,599746,once+upon+a+time+in+the+west+1968,3
2023-11-29 20:06:58,706784,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:06:58,425893,the+wolf+of+wall+street+2013,4
2023-11-29 20:06:58,534099,inception+2010,5
2023-11-29 20:06:59,202456,scrooged+1988,4
2023-11-29 20:06:59,580867,miracle+2004,4
2023-11-29 20:06:59,464486,game+change+2012,4
2023-11-29 20:06:59,342980,unstoppable+2004,3
2023-11-29 20:06:59,355753,i_+robot+2004,4
2023-11-29 20:06:59,315904,avatar+2009,4
2023-11-29 20:07:00,39021,10+things+i+hate+about+you+1999,4
2023-11-29 20:07:00,383400,the+lord+of+the+rings+the+return+of+the+king+2003,4
2023-11-29 20:07:00,133120,funny+ha+ha+2002,4
2023-11-29 20:07:00,689851,mary+shelleys+frankenstein+1994,3
2023-11-29 20:07:00,654591,all+quiet+on+the+western+front+1979,3
2023-11-29 20:07:00,176805,extremely+loud++incredibly+close+2011,4
2023-11-29 20:07:00,526246,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:00,392888,the+goddess+of+1967+2000,5
2023-11-29 20:07:01,304137,interstellar+2014,4
2023-11-29 20:07:01,65522,inglourious+basterds+2009,3
2023-11-29 20:07:01,47708,a+room+for+romeo+brass+1999,3
2023-11-29 20:07:01,468135,ivan+vasilyevich+changes+his+profession+1973,4
2023-11-29 20:07:01,411811,city+of+joy+1992,3
2023-11-29 20:07:02,621496,the+silence+1963,5
2023-11-29 20:07:02,708777,the+day+the+earth+stood+still+1951,4
2023-11-29 20:07:02,240457,the+golden+coach+1952,3
2023-11-29 20:07:02,130683,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:02,474383,the+dresser+1983,5
2023-11-29 20:07:02,15547,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:02,329472,ten+little+indians+1974,5
2023-11-29 20:07:03,130961,the+spongebob+movie+sponge+out+of+water+2015,4
