,index,age_x,age_y,age
0,26,1856,1569,287
1,32,1838,1537,301
2,28,1816,1520,296
3,33,1812,1542,270
4,25,1787,1513,274
5,30,1778,1511,267
6,31,1763,1471,292
7,27,1761,1505,256
8,29,1757,1466,291
9,34,1713,1456,257
10,18,556,444,112
11,21,301,260,41
12,22,193,171,22
13,23,175,154,21
14,24,172,162,10
15,20,152,141,11
16,19,129,117,12
17,36,123,87,36
18,38,106,84,22
19,40,89,71,18
20,42,88,63,25
21,41,81,51,30
22,43,77,63,14
23,44,77,62,15
24,35,76,59,17
25,39,75,57,18
26,37,74,55,19
27,55,46,35,11
28,49,43,27,16
29,50,41,26,15
30,53,38,18,20
31,51,37,21,16
32,15,34,18,16
33,54,31,16,15
34,13,26,21,5
35,8,26,18,8
36,17,24,20,4
37,11,24,20,4
38,46,23,15,8
39,12,23,19,4
40,16,22,19,3
41,9,21,17,4
42,10,21,15,6
43,87,19,8,11
44,89,19,10,9
45,48,19,14,5
46,14,19,14,5
47,59,18,7,11
48,52,18,12,6
49,47,17,9,8
50,45,17,9,8
51,67,16,5,11
52,90,16,7,9
53,86,15,12,3
54,65,15,7,8
55,61,15,7,8
56,60,15,7,8
57,74,15,5,10
58,71,14,5,9
59,69,14,4,10
60,84,13,5,8
61,66,13,3,10
62,72,13,4,9
63,82,13,5,8
64,58,12,3,9
65,77,12,6,6
66,63,12,2,10
67,81,12,8,4
68,75,11,5,6
69,70,11,8,3
70,68,9,5,4
71,85,9,8,1
72,88,9,3,6
73,83,8,3,5
74,73,7,2,5
75,80,7,6,1
76,62,7,2,5
77,76,6,3,3
78,78,6,5,1
79,64,6,2,4
80,56,6,2,4
81,79,5,2,3
82,57,4,3,1
