index,movie_id,rate_x,rate_y,global_rate
0,...and+the+pursuit+of+happiness+1986,3.0,4.0,8.3
1,.45+2006,3.0,4.0,5.2
2,10+items+or+less+2006,3.5,3.0,6.6
3,10+things+i+hate+about+you+1999,3.857142857142857,3.6,7.3
4,1001+nights+1990,4.0,3.0,4.9
5,101+reykjavik+2000,4.0,3.5,6.7
6,1114+2003,4.0,4.0,6.8
7,12+angry+men+1957,4.0,5.0,8.2
8,12+oclock+boys+2013,5.0,3.0,6.2
9,12+years+a+slave+2013,4.0,3.0,7.9
10,13+lakes+2004,3.0,4.0,5.0
11,18+fingers+of+death+2006,3.5,3.0,5.0
12,1971+2014,5.0,2.0,7.7
13,1981+2009,3.0,4.0,6.9
14,20+feet+from+stardom+2013,4.666666666666667,4.0,7.4
15,2001+a+space+odyssey+1968,4.033333333333333,4.0,7.9
16,21+up+1977,4.0,4.0,7.9
17,23+paces+to+baker+street+1956,3.0,3.0,6.2
18,28+days+later+2002,3.0,3.5,7.1
19,3+idiots+2009,4.0,4.0,7.8
20,30+beats+2012,3.0,4.0,3.3
21,300+2006,5.0,4.0,7.0
22,3000+miles+to+graceland+2001,3.0,3.0,5.8
23,360+2012,3.0,4.5,5.7
24,36th+precinct+2004,4.0,4.0,6.7
25,4+little+girls+1997,3.6666666666666665,4.0,6.7
26,5+dolls+for+an+august+moon+1970,5.0,4.0,5.7
27,5050+2011,3.3333333333333335,4.0,7.0
28,7+plus+seven+1970,5.0,4.333333333333333,7.5
29,84+charing+cross+road+1987,4.0,3.0,6.8
30,a+bag+of+hammers+2011,3.0,4.0,6.0
31,a+bittersweet+life+2005,4.0,4.0,7.5
32,a+brief+history+of+time+1991,4.0,4.0,7.4
33,a+bugs+life+1998,4.0,3.7,6.8
34,a+case+of+you+2013,1.0,5.0,5.4
35,a+cat+in+paris+2010,4.0,4.0,6.5
36,a+charlie+brown+christmas+1965,4.0,4.0,7.5
37,a+chinese+ghost+story+1987,4.0,4.0,7.2
38,a+chinese+ghost+story+ii+1990,3.5,4.0,6.5
39,a+christmas+carol+1997,4.0,3.0,5.7
40,a+christmas+story+1983,4.25,4.5,7.4
41,a+cock+and+bull+story+2005,3.6666666666666665,3.0,6.2
42,a+cry+in+the+wild+1990,4.0,3.5,6.7
43,a+day+in+the+country+1936,4.0,4.0,7.5
44,a+deeper+shade+of+blue+2011,3.0,4.0,8.0
45,a+dirty+carnival+2006,3.0,3.0,6.7
46,a+face+in+the+crowd+1957,5.0,3.0,7.4
47,a+family+2011,4.0,5.0,6.0
48,a+family+thing+1996,5.0,3.0,5.6
49,a+feast+at+midnight+1994,4.0,3.0,3.0
50,a+fever+in+the+blood+1961,3.0,3.0,6.0
51,a+fish+called+wanda+1988,3.3333333333333335,5.0,7.1
52,a+fistful+of+dollars+1964,3.0,4.5,7.6
53,a+flower+1971,3.5,5.0,4.8
54,a+further+gesture+1997,3.0,2.5,0.0
55,a+gang+story+2011,4.0,4.0,6.7
56,a+gathering+of+old+men+1987,3.0,5.0,7.0
57,a+gentle+woman+1969,4.0,4.0,6.8
58,a+girl+walks+home+alone+at+night+2014,4.0,4.0,6.9
