index,age,total,M,F
0,26,84253,70800,13453
1,32,83755,70660,13095
2,28,83637,70239,13398
3,29,83597,70875,12722
4,31,83530,70131,13399
5,30,83370,70087,13283
6,27,82860,70121,12739
7,34,82813,70074,12739
8,33,82749,70173,12576
9,25,82280,69607,12673
10,18,25773,20874,4899
11,21,15098,12995,2103
12,22,8127,7401,726
13,23,8109,7586,523
14,24,7952,7369,583
15,19,7341,6781,560
16,20,7181,6615,566
17,36,4302,3240,1062
18,42,4281,3130,1151
19,38,4135,3200,935
20,41,4090,2978,1112
21,40,4051,3087,964
22,43,4016,2893,1123
23,44,3993,2943,1050
24,37,3965,2945,1020
25,35,3924,2976,948
26,39,3801,2759,1042
27,50,1729,1205,524
28,53,1697,1093,604
29,51,1687,1026,661
30,55,1684,1145,539
31,54,1442,932,510
32,15,1372,1061,311
33,52,1305,902,403
34,9,1265,898,367
35,12,1262,1036,226
36,8,1261,951,310
37,49,1246,741,505
38,16,1239,955,284
39,10,1234,897,337
40,17,1157,806,351
41,13,1146,853,293
42,11,1120,869,251
43,14,1089,892,197
44,47,1002,575,427
45,46,956,553,403
46,45,878,529,349
47,48,829,540,289
48,69,771,305,466
49,59,740,330,410
50,83,675,351,324
51,58,663,324,339
52,64,639,269,370
53,60,631,259,372
54,75,616,320,296
55,66,615,270,345
56,90,615,244,371
57,84,611,249,362
58,70,602,261,341
59,86,597,306,291
60,61,596,269,327
61,72,596,228,368
62,56,594,248,346
63,71,592,251,341
64,89,581,309,272
65,78,578,289,289
66,82,578,242,336
67,87,576,265,311
68,80,574,276,298
69,63,569,197,372
70,74,567,245,322
71,81,563,236,327
72,77,546,263,283
73,67,538,217,321
74,85,530,299,231
75,68,524,211,313
76,62,522,210,312
77,79,517,205,312
78,65,514,231,283
79,76,509,202,307
80,73,504,198,306
81,88,496,208,288
82,57,477,174,303
